ZPRODH11;ZPRODH11_TXT
10010;Арматура
10013;Арматура х/д
10020;Балка
10030;Квадрат
10040;Круг
10050;Круг конструкц. и легир.
10060;Лист Г/К 1.5-12
10065;Лист Г/К НЛГ 1.5-12
10070;Лист Г/К >12
10075;Лист Г/К НЛГ >12
10080;Лист Г/К 1.5-12 рулон
10085;Лист Г/К НЛГ 1.5-12 рулон
10086;Лист Г/К судостроительный
10090;Лист Г/К прочий
10095;Лист Г/К прочий рулон
10096;Лист Г/К ИСС
10097;Лист Г/К ВПС
10100;Лист ОЦ карты (до 0.7)
10101;Лист ОЦ карты (0.7 и выше)
10110;Лист ОЦ рулон (до 0.7)
10111;Лист ОЦ рулон (0.7 и выше)
10120;Лист ОЦ полимер рулон (ПЭ)
10121;Лист ОЦ полимер рулон (ДПП)
10122;Лист ОЦ полимер рулон (премиум)
10130;Лист Х/К
10140;Лист Х/К рулон
10146;Жесть черная рулон
10150;Полоса
10155;Полоса ОЦ
10160;Проволока ВР
10170;Проволока Т/О (черная)
10180;Рельсы
10190;Труба Б/Ш
10210;Труба ОЦ
10220;Труба профильная 10-60
10221;Труба профильная НЛГ 10-60
10222;Труба профильная 70-160
10223;Труба профильная НЛГ 70-160
10224;Труба профильная от 180
10225;Труба профильная НЛГ от 180
10226;Труба профильная полимер
10230;Труба Э/С до 219
10231;Труба Э/С НЛГ до 219
10232;Труба Э/С 244-630
10233;Труба Э/С НЛГ 244-630
10234;Труба Э/С от 720
10235;Труба Э/С НЛГ от 720
10236;Труба Э/С полимер
10240;Уголок 20-125
10245;Уголок от 140
10250;Швеллер 5-18
10255;Швеллер от 20
10260;Шестигранник
10270;Труба прочая
10280;Проволока прочая
10290;Метизы
10300;Сетка прочая
10310;Соединительные детали трубопроводов
10320;Прочее
10330;Некондиция металлопрокат
20340;Нержавеющий лист
20350;Нержавеющий прокат прочий
20360;Цветной прокат
30370;Металлочерепица (ПЭ)
30371;Металлочерепица (ДПП)
30372;Металлочерепица (премиум)
30373;Металлочерепица (ОЦ до 0.7)
30374;Металлочерепица (ОЦ 0.7 и выше)
30380;Доборные элементы КиФ (ПЭ)
30381;Доборные элементы КиФ (ДПП)
30382;Доборные элементы КиФ (премиум)
30383;Доборные элементы КиФ (ОЦ до 0.7)
30384;Доборные элементы КиФ (ОЦ 0.7 и выше)
30390;Сопутствующие элементы КиФ
30400;Водосточная система
30410;Кровля прочая и доборные элем
30420;Фасадные панели, сайдинг (ПЭ)
30421;Фасадные панели, сайдинг (ДПП)
30422;Фасадные панели, сайдинг (премиум)
30423;Фасадные панели, сайдинг (ОЦ до 0.7)
30424;Фасадные панели, сайдинг (ОЦ 0.7 и выше)
30425;Сэндвич-панель (ПП)
30426;Сэндвич-панель (МВ)
30427;Сэндвич-панель (ПИР)
30430;Фасад прочий и доборные элем
30440;Лист полимер карты (ПЭ)
30441;Лист полимер карты (ДПП)
30442;Лист полимер карты (премиум)
30450;Профнастил ОЦ (ОЦ до 0.7)
30451;Профнастил ОЦ (ОЦ 0.7 и выше)
30460;Профнастил полимер (ПЭ)
30461;Профнастил полимер (ДПП)
30462;Профнастил полимер (премиум)
30470;Профиль ОЦ для ГКЛ (ОЦ до 0.7)
30471;Профиль ОЦ для ГКЛ (ОЦ 0.7 и выше)
30480;Профиль ОЦ армирующий (ОЦ до 0.7)
30481;Профиль ОЦ армирующий (ОЦ 0.7 и выше)
30490;Профиль ОЦ фасадный (ОЦ до 0.7)
30491;Профиль ОЦ фасадный (ОЦ 0.7 и выше)
30493;Комплектующие Профилей (ОЦ до 0.7)
30494;Комплектующие Профилей (ОЦ 0.7 и выше)
30500;Лента Х/К
30503;Лента Г/К
30505;Лента Г/К НЛГ
30510;Лента ОЦ (ОЦ до 0.7)
30511;Лента ОЦ (ОЦ 0.7 и выше)
30520;Лента полимер (ПЭ)
30521;Лента полимер (ДПП)
30522;Лента полимер (премиум)
30524;Лента нержавеющая
30530;Лист ПВЛ
30540;Каркас арматурный
30550;Сетка сварная арматурная
30560;Скобо-гибочные изд
30570;Сетка дорожная
30580;Сетка кладочная
30590;Уголок гнутый
30600;Швеллер гнутый
30610;Балка сварная
30620;Металлоконструкции
30630;Обрезь
30640;Некондиция ПСП
30645;Упаковка ПСП
30646;Упаковка (сырье)
40650;Пластик Готовая Продукция
40651;Пластик Сырье
40654;Пластик Оснастка
40659;Пластик Некондиция
50660;Прочее (собств нужды)
50700;Неметаллические АГ
60670;Услуги Правка
60680;Услуги Резка
60690;Услуги Прочая мехобработка МП
60700;Услуги Производство
60710;Услуги Транспортные
60720;Услуги Складские
60730;Услуги Прочие
